Entity,Code,Year,Birth rate - sex: all - age: all - variant: estimates
Bolivia,BOL,2013,24.541000366210938
Bolivia,BOL,2014,24.13999938964844
Bolivia,BOL,2015,23.739999771118164
Bolivia,BOL,2016,23.354999542236328
Bolivia,BOL,2017,22.98600006103516
Bolivia,BOL,2018,22.63400077819824
Bolivia,BOL,2019,22.322999954223636
Bosnia and Herzegovina,BIH,2010,9.491999626159668
Bosnia and Herzegovina,BIH,2011,8.878000259399414
Bosnia and Herzegovina,BIH,2012,9.211000442504885
Bosnia and Herzegovina,BIH,2013,8.949000358581543
Bosnia and Herzegovina,BIH,2014,8.767999649047852
Bosnia and Herzegovina,BIH,2015,8.842000007629395
Bosnia and Herzegovina,BIH,2016,8.95300006866455
Bosnia and Herzegovina,BIH,2017,9.020000457763672
Bosnia and Herzegovina,BIH,2018,9.06700038909912
Bosnia and Herzegovina,BIH,2019,8.819000244140625
Botswana,BWA,2010,27.89800071716309
Botswana,BWA,2011,27.59600067138672
Botswana,BWA,2012,27.40699958801269
Botswana,BWA,2013,27.097000122070312
Botswana,BWA,2014,26.770999908447266
Botswana,BWA,2015,26.40900039672852
Botswana,BWA,2016,26.1299991607666
Botswana,BWA,2017,25.67200088500977
Botswana,BWA,2018,25.327999114990234
Botswana,BWA,2019,24.886999130249023
Brazil,BRA,2010,15.491999626159668
Brazil,BRA,2011,15.309000015258787
Brazil,BRA,2012,14.939000129699709
Brazil,BRA,2013,14.6899995803833
Brazil,BRA,2014,14.753000259399414
Brazil,BRA,2015,14.72700023651123
Brazil,BRA,2016,14.050999641418455
Brazil,BRA,2017,14.159000396728516
Brazil,BRA,2018,14.133000373840332
Brazil,BRA,2019,13.633000373840332
Brunei,BRN,2010,17.128000259399414
Brunei,BRN,2011,17.3439998626709
Brunei,BRN,2012,17.333999633789062
Brunei,BRN,2013,17.202999114990234
Brunei,BRN,2014,16.941999435424805
Brunei,BRN,2015,16.54599952697754
Brunei,BRN,2016,16.054000854492188
Brunei,BRN,2017,15.543999671936035
Brunei,BRN,2018,15.050000190734863
Brunei,BRN,2019,14.585000038146973
Bulgaria,BGR,2010,10.32900047302246
Bulgaria,BGR,2011,9.767999649047852
Bulgaria,BGR,2012,9.5
Bulgaria,BGR,2013,9.22599983215332
Bulgaria,BGR,2014,9.338000297546388
Bulgaria,BGR,2015,9.208999633789062
Bulgaria,BGR,2016,9.109999656677246
Bulgaria,BGR,2017,9.005000114440918
Bulgaria,BGR,2018,8.819999694824219
Bulgaria,BGR,2019,8.732999801635742
Cambodia,KHM,2010,23.66900062561035
Cambodia,KHM,2011,23.36899948120117
Cambodia,KHM,2012,23.29400062561035
Cambodia,KHM,2013,23.03499984741211
Cambodia,KHM,2014,22.774999618530277
Cambodia,KHM,2015,22.343000411987305
Cambodia,KHM,2016,21.86400032043457
Cambodia,KHM,2017,21.347999572753903
Cambodia,KHM,2018,20.80500030517578
Cambodia,KHM,2019,20.280000686645508
Canada,CAN,2010,11.01200008392334
Canada,CAN,2011,10.932000160217283
Canada,CAN,2012,10.937999725341797
Canada,CAN,2013,10.76099967956543
Canada,CAN,2014,10.718000411987305
Canada,CAN,2015,10.42099952697754
Canada,CAN,2016,10.274999618530272
Canada,CAN,2017,10.272000312805176
Canada,CAN,2018,10.020999908447266
Canada,CAN,2019,9.737000465393066
Cayman Islands,CYM,2010,15.76099967956543
Cayman Islands,CYM,2011,14.70699977874756
Cayman Islands,CYM,2012,13.769000053405762
Cayman Islands,CYM,2013,12.305999755859377
Cayman Islands,CYM,2014,12.017000198364258
Cayman Islands,CYM,2015,10.34000015258789
Cayman Islands,CYM,2016,10.243000030517578
Cayman Islands,CYM,2017,9.482999801635742
Cayman Islands,CYM,2018,9.723999977111816
Cayman Islands,CYM,2019,10.10200023651123
Chile,CHL,2010,14.32699966430664
Chile,CHL,2011,14.109000205993652
Chile,CHL,2012,13.857000350952148
Chile,CHL,2013,13.696999549865724
Chile,CHL,2014,13.545000076293944
Chile,CHL,2015,13.211000442504885
Chile,CHL,2016,12.699999809265137
Chile,CHL,2017,12.130000114440918
Chile,CHL,2018,11.9399995803833
Chile,CHL,2019,11.854999542236328
China,CHN,2010,13.30799961090088
China,CHN,2011,13.13599967956543
China,CHN,2012,14.06999969482422
China,CHN,2013,13.269000053405762
China,CHN,2014,13.505999565124512
China,CHN,2015,12.522000312805176
China,CHN,2016,13.038000106811523
China,CHN,2017,13.0649995803833
China,CHN,2018,10.947999954223633
China,CHN,2019,10.29300022125244
Colombia,COL,2010,16.909000396728516
Colombia,COL,2011,16.608999252319336
Colombia,COL,2012,16.3439998626709
Colombia,COL,2013,16.08799934387207
Colombia,COL,2014,15.833999633789062
Colombia,COL,2015,15.585000038146973
Colombia,COL,2016,15.352999687194824
Colombia,COL,2017,15.081000328063965
Colombia,COL,2018,14.840999603271484
Colombia,COL,2019,14.682000160217283
Cook Islands,COK,2010,19.16200065612793
Cook Islands,COK,2011,19.006999969482425
Cook Islands,COK,2012,18.61400032043457
Cook Islands,COK,2013,18.198999404907227
Cook Islands,COK,2014,17.79400062561035
Cook Islands,COK,2015,17.48900032043457
Cook Islands,COK,2016,17.2450008392334
Cook Islands,COK,2017,16.986000061035156
Cook Islands,COK,2018,16.71500015258789
Cook Islands,COK,2019,16.516000747680664
Costa Rica,CRI,2010,16.040000915527344
Costa Rica,CRI,2011,15.772000312805176
Costa Rica,CRI,2012,15.482999801635742
Costa Rica,CRI,2013,15.093000411987305
Costa Rica,CRI,2014,14.85200023651123
Costa Rica,CRI,2015,14.522000312805176
Costa Rica,CRI,2016,14.145000457763672
Costa Rica,CRI,2017,13.925999641418455
Costa Rica,CRI,2018,13.562000274658203
Costa Rica,CRI,2019,12.847000122070312
Croatia,HRV,2010,10.201000213623049
Croatia,HRV,2011,9.743000030517578
Croatia,HRV,2012,9.80500030517578
Croatia,HRV,2013,9.42300033569336
Croatia,HRV,2014,9.288999557495115
Croatia,HRV,2015,8.875
Croatia,HRV,2016,8.904999732971191
Croatia,HRV,2017,8.817999839782715
Croatia,HRV,2018,8.979999542236328
Croatia,HRV,2019,8.87399959564209
Cuba,CUB,2010,11.416999816894531
Cuba,CUB,2011,11.760000228881836
Cuba,CUB,2012,11.190999984741213
Cuba,CUB,2013,11.121999740600586
Cuba,CUB,2014,10.859999656677246
Cuba,CUB,2015,10.972000122070312
Cuba,CUB,2016,10.35099983215332
Cuba,CUB,2017,10.182000160217283
Cuba,CUB,2018,10.347999572753906
Cuba,CUB,2019,9.751999855041504
Cyprus,CYP,2010,12.045000076293944
Cyprus,CYP,2011,11.506999969482422
Cyprus,CYP,2012,11.76200008392334
Cyprus,CYP,2013,11.088000297546388
Cyprus,CYP,2014,11.163000106811523
Cyprus,CYP,2015,11.208000183105469
Cyprus,CYP,2016,11.418999671936035
Cyprus,CYP,2017,10.994000434875488
Cyprus,CYP,2018,10.843000411987305
Cyprus,CYP,2019,10.793999671936035
Czechia,CZE,2010,11.145000457763672
Czechia,CZE,2011,10.395999908447266
Czechia,CZE,2012,10.317999839782717
Czechia,CZE,2013,10.166999816894531
Czechia,CZE,2014,10.413000106811523
Czechia,CZE,2015,10.467000007629396
Czechia,CZE,2016,10.595000267028809
